"","pos","gs","player","ts","per","efg","usg_perc","ws","all.nba","season_start","player_season","season"
"1","PG","Bin 4","Mahmoud Abdul-Rauf","Bin 2","Bin 1","Bin 2","Bin 2","Bin 1","0",1992,3,"1992-93"
"2","PG","Bin 4","Mahmoud Abdul-Rauf","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2","0",1993,4,"1993-94"
"3","PG","Bin 2","Mahmoud Abdul-Rauf","Bin 2","Bin 1","Bin 2","Bin 3","Bin 1","0",1994,5,"1994-95"
"4","PG","Bin 3","Mahmoud Abdul-Rauf","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2","0",1995,6,"1995-96"
"5","PF","Bin 4","Shareef Abdur-Rahim","Bin 2","Bin 1","Bin 1","Bin 3","Bin 1","0",1996,1,"1996-97"
"6","SF","Bin 4","Shareef Abdur-Rahim","Bin 2","Bin 2","Bin 2","Bin 3","Bin 2","0",1997,2,"1997-98"
"7","SF","Bin 2","Shareef Abdur-Rahim","Bin 2","Bin 2","Bin 1","Bin 3","Bin 1","0",1998,3,"1998-99"
"8","SF","Bin 4","Shareef Abdur-Rahim","Bin 2","Bin 2","Bin 2","Bin 2","Bin 2","0",1999,4,"1999-00"
"9","SF","Bin 4","Shareef Abdur-Rahim","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2","0",2000,5,"2000-01"
"10","PF","Bin 4","Shareef Abdur-Rahim","Bin 2","Bin 2","Bin 2","Bin 3","Bin 2","0",2001,6,"2001-02"
"11","PF","Bin 4","Shareef Abdur-Rahim","Bin 2","Bin 2","Bin 2","Bin 2","Bin 2","0",2002,7,"2002-03"
"12","PF","Bin 2","Shareef Abdur-Rahim","Bin 3","Bin 1","Bin 2","Bin 2","Bin 2","0",2004,9,"2004-05"
"13","PF","Bin 1","Shareef Abdur-Rahim","Bin 3","Bin 1","Bin 2","Bin 2","Bin 2","0",2005,10,"2005-06"
"14","PG","Bin 4","Michael Adams","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2","0",1988,4,"1988-89"
"15","PG","Bin 4","Michael Adams","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2","0",1989,5,"1989-90"
"16","PG","Bin 3","Michael Adams","Bin 2","Bin 2","Bin 1","Bin 3","Bin 2","0",1990,6,"1990-91"
"17","PG","Bin 4","Michael Adams","Bin 1","Bin 1","Bin 1","Bin 2","Bin 2","0",1991,7,"1991-92"
