"","pos","gs","player","ts","per","efg","usg_perc","ws"
"1","C","Bin 4","player test row","Bin 3","Bin 2","Bin 3","Bin 1","Bin 4"
"2","C","Bin 4","Steven Adams","Bin 3","Bin 2","Bin 3","Bin 1","Bin 2"
"3","PF","Bin 4","Bam Adebayo","Bin 3","Bin 2","Bin 3","Bin 2","Bin 3"
"4","C","Bin 4","LaMarcus Aldridge","Bin 3","Bin 2","Bin 2","Bin 2","Bin 2"
"5","C","Bin 4","Jarrett Allen","Bin 4","Bin 2","Bin 4","Bin 1","Bin 2"
"6","PF","Bin 4","Giannis Antetokounmpo","Bin 3","Bin 4","Bin 3","Bin 4","Bin 3"
"7","SF","Bin 4","Will Barton","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2"
"8","SG","Bin 4","Bradley Beal","Bin 3","Bin 2","Bin 2","Bin 3","Bin 2"
"9","PF","Bin 4","Nemanja Bjelica","Bin 3","Bin 1","Bin 3","Bin 2","Bin 2"
"10","PG","Bin 4","Eric Bledsoe","Bin 3","Bin 2","Bin 2","Bin 2","Bin 2"
"11","SF","Bin 4","Bojan Bogdanovic","Bin 3","Bin 1","Bin 3","Bin 3","Bin 2"
"12","SG","Bin 4","Devin Booker","Bin 3","Bin 2","Bin 3","Bin 3","Bin 2"
"13","PG","Bin 3","Malcolm Brogdon","Bin 2","Bin 1","Bin 2","Bin 3","Bin 1"
"14","SF","Bin 4","Jaylen Brown","Bin 3","Bin 1","Bin 3","Bin 2","Bin 2"
"15","C","Bin 2","Thomas Bryant","Bin 3","Bin 2","Bin 3","Bin 2","Bin 1"
"16","SG","Bin 1","Alec Burks","Bin 2","Bin 1","Bin 2","Bin 2","Bin 1"
"17","SF","Bin 4","Jimmy Butler","Bin 3","Bin 3","Bin 1","Bin 2","Bin 3"
"18","C","Bin 4","Clint Capela","Bin 3","Bin 2","Bin 3","Bin 1","Bin 2"
"19","C","Bin 3","Wendell Carter","Bin 3","Bin 1","Bin 2","Bin 1","Bin 2"
"20","PF","Bin 4","Anthony Davis","Bin 3","Bin 4","Bin 2","Bin 3","Bin 3"
"21","SF","Bin 4","DeMar DeRozan","Bin 3","Bin 2","Bin 2","Bin 3","Bin 2"
"22","SG","Bin 3","Spencer Dinwiddie","Bin 2","Bin 1","Bin 2","Bin 3","Bin 2"
"23","PG","Bin 4","Luka Doncic","Bin 3","Bin 4","Bin 2","Bin 4","Bin 3"
"24","C","Bin 4","Andre Drummond","Bin 2","Bin 2","Bin 2","Bin 2","Bin 2"
"25","C","Bin 3","Joel Embiid","Bin 3","Bin 3","Bin 2","Bin 3","Bin 2"
"26","SG","Bin 4","Evan Fournier","Bin 3","Bin 1","Bin 2","Bin 2","Bin 2"
"27","PG","Bin 2","De'Aaron Fox","Bin 2","Bin 2","Bin 2","Bin 3","Bin 1"
"28","PF","Bin 4","Danilo Gallinari","Bin 3","Bin 2","Bin 3","Bin 2","Bin 2"
"29","SF","Bin 2","Paul George","Bin 3","Bin 2","Bin 2","Bin 3","Bin 1"
"30","SG","Bin 4","Shai Gilgeous-Alexander","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2"
"31","C","Bin 4","Rudy Gobert","Bin 4","Bin 2","Bin 4","Bin 1","Bin 3"
"32","PG","Bin 3","Devonte' Graham","Bin 2","Bin 1","Bin 2","Bin 2","Bin 1"
"33","SG","Bin 4","James Harden","Bin 3","Bin 4","Bin 2","Bin 4","Bin 3"
"34","PF","Bin 4","Tobias Harris","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2"
"35","SF","Bin 3","Gordon Hayward","Bin 3","Bin 1","Bin 3","Bin 2","Bin 2"
"36","SG","Bin 4","Buddy Hield","Bin 2","Bin 1","Bin 2","Bin 3","Bin 1"
"37","SG","Bin 4","Jrue Holiday","Bin 2","Bin 1","Bin 2","Bin 2","Bin 1"
"38","C","Bin 3","Richaun Holmes","Bin 4","Bin 2","Bin 4","Bin 1","Bin 2"
"39","C","Bin 4","Al Horford","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2"
"40","C","Bin 1","Serge Ibaka","Bin 3","Bin 1","Bin 3","Bin 2","Bin 1"
"41","PF","Bin 4","Brandon Ingram","Bin 3","Bin 2","Bin 2","Bin 3","Bin 2"
"42","SF","Bin 3","Jonathan Isaac","Bin 2","Bin 1","Bin 2","Bin 2","Bin 1"
"43","C","Bin 4","Jaren Jackson","Bin 3","Bin 1","Bin 3","Bin 2","Bin 1"
"44","PG","Bin 4","LeBron James","Bin 2","Bin 3","Bin 2","Bin 3","Bin 3"
"45","C","Bin 4","Nikola Jokic","Bin 3","Bin 3","Bin 2","Bin 3","Bin 3"
"46","SG","Bin 4","Zach LaVine","Bin 2","Bin 2","Bin 2","Bin 3","Bin 2"
"47","SF","Bin 3","Kawhi Leonard","Bin 3","Bin 3","Bin 2","Bin 4","Bin 2"
"48","PG","Bin 4","Damian Lillard","Bin 3","Bin 3","Bin 3","Bin 3","Bin 3"
"49","PF","Bin 4","Kevin Love","Bin 3","Bin 1","Bin 3","Bin 2","Bin 1"
"50","PG","Bin 3","Kyle Lowry","Bin 3","Bin 1","Bin 2","Bin 2","Bin 2"
"51","SG","Bin 4","CJ McCollum","Bin 2","Bin 1","Bin 2","Bin 2","Bin 1"
"52","SF","Bin 3","Khris Middleton","Bin 3","Bin 2","Bin 3","Bin 2","Bin 2"
"53","SG","Bin 4","Donovan Mitchell","Bin 2","Bin 2","Bin 2","Bin 3","Bin 2"
"54","PG","Bin 4","Ja Morant","Bin 2","Bin 1","Bin 2","Bin 3","Bin 1"
"55","SF","Bin 4","Marcus Morris","Bin 3","Bin 1","Bin 2","Bin 2","Bin 1"
"56","PG","Bin 4","Jamal Murray","Bin 2","Bin 1","Bin 2","Bin 2","Bin 1"
"57","SF","Bin 4","Kelly Oubre","Bin 2","Bin 1","Bin 2","Bin 2","Bin 2"
"58","PF","Bin 2","Jabari Parker","Bin 2","Bin 1","Bin 2","Bin 2","Bin 1"
"59","PG","Bin 4","Chris Paul","Bin 3","Bin 2","Bin 2","Bin 2","Bin 2"
"60","PF","Bin 3","Kristaps Porzingis","Bin 2","Bin 1","Bin 2","Bin 3","Bin 1"
"61","C","Bin 3","Dwight Powell","Bin 4","Bin 1","Bin 4","Bin 1","Bin 2"
"62","SG","Bin 1","Norman Powell","Bin 3","Bin 1","Bin 3","Bin 2","Bin 2"
"63","PF","Bin 4","Julius Randle","Bin 2","Bin 1","Bin 2","Bin 3","Bin 1"
"64","SG","Bin 3","J.J. Redick","Bin 4","Bin 1","Bin 3","Bin 2","Bin 1"
"65","PG","Bin 4","Ricky Rubio","Bin 1","Bin 1","Bin 1","Bin 2","Bin 1"
"66","SG","Bin 3","D'Angelo Russell","Bin 2","Bin 2","Bin 2","Bin 3","Bin 1"
"67","C","Bin 4","Domantas Sabonis","Bin 3","Bin 2","Bin 2","Bin 2","Bin 2"
"68","SG","Bin 4","Collin Sexton","Bin 2","Bin 1","Bin 2","Bin 3","Bin 1"
